Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
DISCOUNT DALLAS AND GAMES OF CHANCE	16800 HIGHWAY 281 SOUTH TRLR 21	HOUSTON	77900	32031538435	00008	09/20/2000	09/30/2000
EXXON CORPORATION STA # 1258	2811 E HOUSTON HWY	VICTORIA	77900	11354090059	00400	01/01/1973	01/01/1973
THE SWEING CENTER	121 VICTORIA MALL	VICTORIA	77900	32029877738	00008	08/01/1984	03/31/1985
TOPNOTCH PLEASURABLES	408 KNOWLAN AVE	VICTORIA	77900	32077957804	00001	03/02/2021	
GRAFFITI GRAFIX	4001 PORT LAVACA DR	VICTORIA	77901	32052676593	00006	07/01/2018	02/01/2019
PROFESSIONAL TELECOM SERVICES	2001 E SABINE ST	VICTORIA	77901	32005181006	00003	10/01/2011	12/31/2011
$1.00 + STORE	4303 N NAVARRO ST # 100	VICTORIA	77901	32018011133	00003	02/01/2011	01/31/2016
*ROYAL*PICKLE*POPZ*	607 FILLMORE AVE APT 3505	VICTORIA	77901	32049387643	00002	01/15/2015	10/30/2015
*ROYAL*PICKLE*POPZ*	101 IMPERIAL DR	VICTORIA	77901	32049387643	00001	11/17/2012	01/14/2015
#319 CRAFTS	404 WISTERIA AVE	VICTORIA	77901	32038082411	00002	01/10/2023	
@ UR BEST PHOTOGRAPHY BY MARY	2404 E COLORADO ST	VICTORIA	77901	32040477583	00001	10/01/2009	11/10/2009
@PUPPERNELSON	3001 LINDA DR	VICTORIA	77901	32076813545	00001	01/01/2021	09/30/2022
"FEET" PRINTS	4 MI EAST ON WOODHI RD	VICTORIA	77901	32031402236	00001	01/13/1986	12/31/1999
"L" TACO HOUSE	202 E RIO GRANDE ST	VICTORIA	77901	32031194445	00001	04/03/2000	12/26/2000
"MILLAGROS"	1501 AIRLINE KIOSK #30	VICTORIA	77901	32019392516	00001	04/10/2006	12/17/2008
"THE BIG BEAR"	3605 GLENDALE ST	VICTORIA	77901	32016782404	00002	09/02/2008	12/31/2009
"THE THREE OF US"	1307 SAM HOUSTON DR	VICTORIA	77901	32006148558	00004	07/01/2006	02/29/2008
"THE THREE OF US"	202 E FORREST ST	VICTORIA	77901	32006148558	00003	01/01/2006	01/31/2008
A & A CONSTRUCTION CO INC	4401 N MAIN	VICTORIA	77901	17416493116	00001	04/01/1973	12/31/1984
A & A DRAPERY	107 MILANN APT B	VICTORIA	77901	32025535280	00001	08/17/1990	10/30/1991
A & A FLEA MARKET	4006 CALLIS	VICTORIA	77901	30115136571	00001	02/07/1992	03/15/1992
A & A MONITORING LLC	203 N MOODY ST	VICTORIA	77901	32064959326	00001	10/01/2017	
A & A TEES & CANVAS PRINTING	1210 S LAURENT ST	VICTORIA	77901	32051526468	00001	08/01/2013	03/31/2015
A & B COMPUTER	805 N NAVARRO ST	VICTORIA	77901	32005713113	00005	11/01/1999	06/27/2000
A & B COMPUTER SERVICES	1210 E AIRLINE RD	VICTORIA	77901	32005713113	00002	03/08/1999	09/30/1999
A & B ELECTRONICS INC	103 JOHN STOCKBAUER DR	VICTORIA	77901	18502257787	00025	04/01/1993	09/30/1996
A & B ELECTRONICSINC	2806 NORTH DELMAR	VICTORIA	77901	18502257787	00024	01/14/1993	03/31/1993
A & B PIT BAR-B-QUE	3808 PLEASANT GREEN DR	VICTORIA	77901	32008443494	00001	02/06/1987	05/27/2006
A & C ELECTRONICS	1101 SAM HOUSTON DR SUITE D	VICTORIA	77901	32009288575	00002	01/20/1994	02/15/1994
A & C ELECTRONICS	2014 N BEN JORDAN	VICTORIA	77901	32009288575	00001	01/10/1994	01/20/1994
A & D SERVICES	2402 E POPLAR AVE	VICTORIA	77901	32042497738	00001	09/06/2010	09/30/2010
A & E TRUCKING	1113 SERTUCHE ST	VICTORIA	77901	32064748844	00001	01/01/2017	09/30/2019
A & F NOVELTIES	2001 N LAURENT ST	VICTORIA	77901	32038006196	00001	06/01/2008	11/30/2008
A & F TANK REPAIR	1612 E ANAQUA	VICTORIA	77901	32024807557	00001	01/01/1995	10/31/1995
A & J	106 HERITAGE OAK CT	VICTORIA	77901	32010819947	00005	05/20/2017	05/31/2017
A & L PAINTING & DRYWALL	1711 N AZALEA ST APT C	VICTORIA	77901	32015777546	00001	01/01/2000	12/31/2000
A & M MERCHANDISING COMPANY	1112 MANOR DR	VICTORIA	77901	32045920231	00001	12/09/2011	09/30/2013
A & M RESALE & GIFT SHOP	1611 E JUAN LINN ST	VICTORIA	77901	32028384967	00003	09/15/1999	09/15/1999
A & P SERVICE	204 VANESSA LN	VICTORIA	77901	32021397180	00001	10/01/1997	06/30/1999
A & R DISTRIBUTING	2208 SW BEN JORDAN ST	VICTORIA	77901	17427936673	00001	10/01/1996	12/31/1996
A & R DISTRIBUTING	406 PROFIT DR	VICTORIA	77901	30115454990	00001	02/15/1996	09/30/1996
A & R DISTRIBUTING	406 PROFIT DR	VICTORIA	77901	30115454776	00001	02/01/1996	02/29/1996
A & R RESALE SHOP	601 E GOODWIN AVE	VICTORIA	77901	32017820997	00001	06/06/2005	12/25/2006
A & R TRANSMISSIONS	1004 S LAURENT ST STE G	VICTORIA	77901	32010126392	00002	01/01/1997	12/25/2013
A & R TRANSMISSIONS	1614 E JUAN LINN	VICTORIA	77901	30010590674	00002	01/01/1991	12/31/1992
A & R TRANSMISSIONS	102 W THIRD	VICTORIA	77901	30010590674	00001	05/18/1989	12/31/1990
A & R TRANSMISSIONS	1614 E JUAN LINN ST	VICTORIA	77901	32010126392	00001	01/01/1993	12/31/1996
A & T'S BAR-B-QUE	410 MARINER DR	VICTORIA	77901	17532273111	00001	12/20/2006	03/01/2007
A & W MACHINE WORKS	204 YOUNG DR	VICTORIA	77901	17415021926	00001	02/01/1963	12/25/1999
A A AUTOMOTIVE	1908 N BRIDGE	VICTORIA	77901	32009293237	00001	01/07/1974	12/31/1980
A AUTO SERVICE	1213 E RIO GRANDE ST	VICTORIA	77901	32049235164	00001	10/15/2012	
A B C MOWING	701 E STAYTON AVE	VICTORIA	77901	30115316363	00001	12/01/1993	12/31/1996
A B C PAWN AND JEWELRY	2201 N LAURENT ST	VICTORIA	77901	30115315506	00002	01/01/1993	05/01/1998
A B C TRUCK RENTAL & LEASING CO	3802 PT LAVACA HWY	VICTORIA	77901	17413944897	00012	09/01/1978	05/31/1984
A B ENTERPRISES	2005 KERN DR	VICTORIA	77901	32030976552	00006	12/01/1992	12/31/1996
A B ENTERPRISES	1007 E RED RIVER	VICTORIA	77901	32030976552	00005	02/10/1987	11/30/1992
A BAASS CONSTRUCTION & SUPPLY CO	3 MI W ON HWY 59	VICTORIA	77901	32030341583	00005	01/01/1993	12/31/1995
A BAASS CONSTRUCTION & SUPPLY CO	3 MI W ON HWY 59	VICTORIA	77901	32030341583	00002	11/01/1980	06/30/1990
A BAASS CONSTRUCTION & SUPPLY CO	1606 N BRIDGE	VICTORIA	77901	32030341583	00001	03/01/1978	10/31/1980
A BAASS CONSTRUCTION & SUPPLY INC	1606 N BRIDGE ST	VICTORIA	77901	17427141506	00001	07/11/1994	12/31/1997
A BAND OF ANGELS	203 E MURRAY	VICTORIA	77901	32022997202	00001	01/01/1992	12/31/1993
A BEAUTY ESSENTIAL SALON & SPA	2806 N NAVARRO ST STE E	VICTORIA	77901	32018386147	00001	11/01/2005	12/31/2006
A C'S GROCERY & BAIT	7 1/2 MI S ON HWY 185	VICTORIA	77901	32022593167	00002	06/01/1973	03/07/1977
A C'S PACKAGE STORE	7 MI SOUTH ON HWY 185	VICTORIA	77901	32022593167	00001	06/15/1971	03/07/1977
A CLEAN IDEA	2008 N JECKER	VICTORIA	77901	32026130917	00001	05/15/1989	12/31/1992
A COUPLE OF CRACKED POTS	3102 BOBOLINK ST	VICTORIA	77901	30115455203	00001	09/24/1996	12/25/1998
A CUT ABOVE	2802 HOUSTON HWY	VICTORIA	77901	17422289854	00001	04/24/1982	12/31/1987
A D ENTERPRISES	506 MOCKINGBIRD	VICTORIA	77901	32032973649	00001	05/20/1994	10/01/1994
A D R EQUIPMENT L L C	308 S MOODY ST	VICTORIA	77901	17532402504	00001	05/08/2007	12/31/2008
A DAY TO REMEMBER	706 QUEENSWOOD TRL	VICTORIA	77901	32007968137	00002	07/01/2002	01/01/2021
A DIFFERENT IMAGE SALON AND BOUTIQUE	305 SAM HOUSTON DR STE C	VICTORIA	77901	32067062508	00001	05/21/2018	
A E MACHART EQUIPMENT CO	1307 S W MOODY	VICTORIA	77901	32026997505	00002	05/01/1984	12/31/1988
A G MICROSYSTEMS INC	1905 E RED RIVER ST	VICTORIA	77901	17424763393	00002	11/01/1997	12/21/2005
A G MICROSYSTEMS INC	2203 N HALSEY	VICTORIA	77901	17424763393	00001	11/16/1987	10/31/1997
A HANDY MAN TOO KNOW	2106 E LOMA VISTA AVE	VICTORIA	77901	32018461379	00001	08/01/2005	
A HEALING TOUCH MASSAGE	4504 LILAC LN STE 3	VICTORIA	77901	32019892051	00002	01/01/2012	01/01/2018
A J SERVICES	308 E JUAN LINN ST	VICTORIA	77901	32023886545	00001	08/18/1999	12/31/2000
A L K SPECIALTIES	3104 ERWIN AVE	VICTORIA	77901	32008338306	00001	03/01/1977	
A L M COACHWORKS	1105 E RIO GRANDE	VICTORIA	77901	17424624744	00001	07/01/1987	06/30/1995
A L M INC	3708 N NAVARRO SUITE B	VICTORIA	77901	17422713267	00003	01/01/1992	12/31/1992
A LIL BIT OF EVERYTHING	1909 MELROSE AVE	VICTORIA	77901	32087389519	00001	12/15/2022	
A LITTLE OF THIS AND THAT	310 MARINER DR	VICTORIA	77901	32064890786	00001	10/07/2017	01/01/2018
A M GROLL GROCERY	1 1/4 MILE S ON HWY 59	VICTORIA	77901	17422136188	00001	02/01/1982	09/30/1990
A M GROLL GROCERY INC	S SI OF HWY 59 2 MI W	VICTORIA	77901	30002707955	00001	04/01/1976	01/31/1982
A NEW BEGINNING HAIR AND NAILS STUDIO	3612 N LAURENT ST	VICTORIA	77901	32009136014	00001	01/17/1995	12/31/1995
A O G MEDIA	508 MEYER ST	VICTORIA	77901	32034620388	00001	02/05/2008	12/25/2009
A ORTEGA & SON COMPANIES	2703 ROBIN ST	VICTORIA	77901	17427468255	00003	04/01/2008	12/31/2012
A PERSONAL TOUCH SALON	1407 N MAIN ST	VICTORIA	77901	32047519411	00001	01/01/2012	
A S I ALTERNATOR & STARTER REBUILDERS INC	3208 E RED RIVER ST	VICTORIA	77901	17426189290	00001	01/01/1992	05/31/2002
A S I ALTERNATOR STARTER REBUILDER	3208 E REDRIVER	VICTORIA	77901	32026578719	00003	04/01/1988	12/31/1991
A SPLASH OF SILVER	3406 E MORNINGSIDE	VICTORIA	77901	32002547654	00001	07/01/2000	06/30/2001
A THUR Z FURNITURE	2205 LONE TREE RD	VICTORIA	77901	13310008712	00001	05/08/2002	11/30/2002
A TO Z MOBIL HOMES SERVICES	3201 REDWOOD DR	VICTORIA	77901	32031200226	00001	01/01/1998	01/30/1998
A TO Z ACCESORIES	1706 E WARREN AVE	VICTORIA	77901	32048272119	00001	07/02/2012	12/25/2014
A TO Z INVESTMENTS	3902A N NAVARRO ST	VICTORIA	77901	32001176588	00001	01/15/1999	12/31/2004
A TO Z TIRE & BATTERY INC	1701 N NAVARRO ST	VICTORIA	77901	17512430533	00063	05/01/1991	04/30/1999
A TOUCH OF WHIMSY	803 E MESQUITE LN	VICTORIA	77901	32044498718	00001	06/27/2011	12/25/2013
A WOMANS TOUCH	2208 E TRINITY ST	VICTORIA	77901	32031011151	00001	05/23/1994	05/25/1994
A 2 Z PETS	3805C N NAVARRO ST	VICTORIA	77901	32008721667	00002	05/31/2004	04/03/2006
A 2 Z SALES	308 S MOODY ST	VICTORIA	77901	17425010489	00002	01/01/2010	12/31/2013
A 2 Z SALES	2103 DUDLEY ST	VICTORIA	77901	17425010489	00001	10/11/2006	
A.B.L COUTURE	408 N LIBERTY ST	VICTORIA	77901	32078580860	00001	05/05/2021	
A.J.S. & CO.	905 E COLORADO ST	VICTORIA	77901	32042347602	00001	09/01/2010	12/31/2010
A.M.A.E. RESALE	1611 E JUAN LINN ST	VICTORIA	77901	32016580808	00002	11/03/1999	11/17/1999
A.R.A LOGISTICS USA	203 AVENUE C	VICTORIA	77901	32084973059	00001	07/01/2022	
A+ PROMOTIONAL SPECIALTIES	1307 SAM HOUSTON DR	VICTORIA	77901	30115453927	00006	03/31/2004	12/31/2006
A+ VIDEO GAMES	1410 E NORTH ST	VICTORIA	77901	32055266889	00002	07/01/2015	03/30/2016
A+ VIDEO GAMES	1704 1/2 E AIRLINE RD	VICTORIA	77901	32055266889	00001	10/01/2014	06/30/2015
A+COMPUTER REPAIR SHOP	2020 HOUSTON HWY	VICTORIA	77901	32007194429	00004	02/01/2022	
A&A RESALE	102 W CRESTWOOD DR	VICTORIA	77901	30115316777	00002	11/01/1995	05/15/1996
A&M CRAFTS	101 S BEN JORDAN ST APT 1603	VICTORIA	77901	32088810265	00001	04/20/2023	
A-FACT PEST & TERMITE INC	207 NEWCASTLE	VICTORIA	77901	30010095187	00001	10/01/1987	12/31/1987
A-N-J CRAFTS	2435 FM 236	VICTORIA	77901	32024906748	00002	01/01/1994	04/30/1994
A-PLUMBING	1906 E LOCUST AVE	VICTORIA	77901	32014383775	00001	02/15/2004	09/30/2011
A-TEXIAN COMPRESSOR INC	2704 DELMAR DR STE A	VICTORIA	77901	12013632059	00001	07/13/2004	04/30/2006
A-TEXIAN CORPORATION	2704 DELMAR DR STE A	VICTORIA	77901	17423626013	00003	06/01/2004	06/30/2005
