Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
FOTOS ON THE RUN	1081 W SHIRLEY ST	STEPHENVILLE	76401	32005877991	00002	12/14/2000	05/30/2001
GURLIES	2620 W WASHINGTON ST	STEPHENVILLE	76401	32002073461	00003	10/15/2000	09/28/2001
"VIC ASHE"	377 NORTH 2 MI NORTH OF 281	STEPHENVILLE	76401	32052390989	00001	02/05/1992	12/31/1997
A & A MOTOR PARTS	1710 SOUTH LOOP	STEPHENVILLE	76401	30113598681	00001	11/01/1989	08/16/1991
A & B TEXACO INC	180 SOUTH LOOP	STEPHENVILLE	76401	30004070352	00001	01/02/1979	06/30/1980
A & D PROFESSIONAL SALES	1005 W OAK ST	STEPHENVILLE	76401	32014462702	00001	05/15/1996	06/30/1997
A & G MFG CO INC	1208 E WASHINGTON	STEPHENVILLE	76401	17517449363	00001	04/01/1981	12/25/1985
A & J ELOTES	2095 W SOUTH LOOP	STEPEHNVILLE	76401	32083996523	00001	05/01/2022	
A & K COMMUNICATIONS	210 BARKER ST	STEPHENVILLE	76401	17526370063	00003	02/01/1998	10/16/2001
A & K COMMUNICATIONS	809 EAST RD STE D	STEPHENVILLE	76401	17526370063	00002	04/07/1997	02/01/1998
A & O ENTERPRISES	25946 W FM 1188	STEPHENVILLE	76401	32002796632	00001	08/21/2000	09/06/2002
A & P MFG CO INC	1000 AIRPORT RD	STEPHENVILLE	76401	17524378944	00001	07/01/1992	06/30/1997
A ACTION SMART START	1076 GLEN ROSE RD	STEPHENVILLE	76401	32014049525	00009	02/01/2022	
A C L J MASONRY	700 SOUTH LOOP	STEPHENVILLE	76401	32026240260	00001	10/02/1984	12/25/1985
A CHERISHED MOMENT	3338 E WASHINGTON ST	STEPHENVILLE	76401	32014965324	00001	05/01/2004	12/31/2008
A CHRISTMAS LIGHTING CO	324 CACTUS VLY	STEPHENVILLE	76401	32061711621	00001	01/01/2017	08/01/2019
A CLEAN SWEEP	818 W MCNEIL	STEPHENVILLE	76401	32018754609	00002	01/02/1992	12/31/1993
A COUPLE OF NUTS	6263 COUNTY ROAD 140	STEPHENVILLE	76401	32009892764	00005	03/01/2004	02/28/2007
A COUPLE OF NUTS	2100 S WS YOUNG DRIVE STE	KILLEEN	76401	32009892764	00003	09/01/2003	03/31/2004
A CROSS TEXAS	2360 W DENMAN ST	STEPHENVILLE	76401	32051265356	00002	10/01/2013	12/31/2013
A CURIOUS JUMBLE	1950 W SOUTH LOOP	STEPHENVILLE	76401	32046212497	00001	01/01/2012	12/31/2019
A CUT ABOVE	1260 W LINGLEVILLE RD	STEPHENVILLE	76401	32009537492	00001	09/01/1988	
A G'S ALTERNATOR REPAIR	2605 JASMINE ST	STEPHENVILLE	76401	32027685828	00001	01/02/1979	12/31/1987
A G'S ALTERNATOR REPAIR	1421 N GRAHAM ST	STEPHENVILLE	76401	17522054976	00001	01/01/1988	03/31/1993
A G'S ALTERNATOR REPAIR	1421 NORTH GRAHAM	STEPHENVILLE	76401	32027685828	00004	01/01/1993	12/31/1994
A JACK OF ALL TRADES CUSTOM SALES AND SERVICE	425 W ELM ST	STEPHENVILLE	76401	32008810221	00005	01/01/2005	12/31/2007
A JACK OF ALL TRADES CUSTOM SALES AND SERVICE	993 W LINGLEVILLE RD	STEPHENVILLE	76401	32008810221	00003	01/01/1998	02/28/2003
A JACK OF ALL TRADES CUSTOM SALES AND SERVICE	330 CLARK LN	STEPHENVILLE	76401	32008810221	00001	07/01/1997	07/01/1997
A LA CARTE	230 W COLLEGE ST	STEPHENVILLE	76401	32005809713	00001	06/17/2002	10/31/2002
A LAZY J RANCH	1109 COUNTY ROAD 185	STEPHENVILLE	76401	32083268394	00001	02/01/2022	
A LITTLE TASTE OF HEAVEN	310 MORGAN MILL RD	STEPHENVILLE	76401	32020293265	00001	10/07/2006	12/31/2010
A LITTLE TASTE OF HEAVEN II	310 MORGAN MILL RD	STEPHENVILLE	76401	32020293265	00002	01/23/2010	12/31/2010
A M W INC	439 S GRAHAM ST	STEPHENVILLE	76401	17522939747	00001	10/01/1989	01/01/1997
