Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
ATTIC STUFF MINI STORAGE	1/2 MI SOUTH OF HWY 243 ON HWY 19	CANTON	75301	32023757647	00001	11/10/1995	12/31/2000
DINAMATION INTERNATIONAL CORP	COLLIN CREEK MALL/811 N CENTRAL EXPY	PLANO	75301	19538079237	00002	01/09/1994	06/30/1996
PEGASUS LOFT	900 VAN BUREN ST	WITCHITA FALLS	75301	32079579531	00001	05/21/2021	06/30/2021
PENNEY OPCO LLC	1441 N HIGWAY 77	WAXAHACHIE	75301	32076712119	00066	12/07/2020	
PETE'S GARAGE	4 MI SOUTH ON HWY 19	CANTON	75301	32026919483	00001	07/13/1982	12/31/1998
WILSON OIL CO	902 S MAIN	CLEBURNE	75301	32013647568	00001	09/01/1961	09/01/1974
G&K SERVICES INC	1310 ECHO LANE	WICHITA FALLS	75302	32015103073	00011	04/01/1985	01/31/1988
G&K SERVICES INC	1310 ECHO LANE	WICHITA FALLS	75302	32015103073	00002	06/25/1979	03/31/1985
LINDA BELL'S AESTHETIQUE	123 E SIXTH ST WPC	DALLAS	75302	32006494713	00005	06/18/1990	01/14/1991
SILVER STAR DISTRIBUTING	1 MI S ON HWY 155	TYLER	75302	17519849636	00001	09/01/1985	05/31/1986
THE GOODYEAR TIRE & RUBBER COMPANY	3917 JACKSBORO HWY	WICHITA FALLS	75302	13402532405	00201	08/01/1972	05/27/1978
MORGAN PORTABLE BLDG CORP LOT 196	2316 JACKBORO HWY	WICHITA FALLS	75305	17511885307	00056	02/01/1978	06/30/1978
ALLSTAR ENTERPRISES	5802 SANDHURST UNIT C	DALLAS	75306	32028071101	00002	01/01/1993	12/31/1993
MORGAN PORTABLE BLDG CORP	1105 BROAD ST	WICHITA FALLS	75307	17511885307	00011	01/01/1970	10/31/1971
ABBOTT LABORATORIES	HOSPITAL PRODUCTS DIVISION 1921 HURD DR	DALLAS	75308	15211859507	00055	10/01/1987	11/30/1987
GREAT ATLANTIC & PACIFIC TEA CO INC	2807 SOUTHWEST PKY	WICHITA FALLS	75308	11318909741	00156	07/01/1971	06/30/1975
LABSOURCE INC	5330 MAC ARTHUR BLVD	IRVING	75308	17526974682	00001	10/01/1997	12/31/1998
WENDY'S OLD FASHIONED HAMBURGERS	3601 KEMP STREET	WICHITA FALLS	75308	17521286264	00001	10/04/1986	09/01/1987
WINIFRED R VAN BESIEN	HYATT HOTEL - DFW AIRPORT	DALLAS	75308	32006018447	00005	01/01/2004	01/01/2004
INDOPCO INC	909 E LAS COLINS BLVD STE 1100	IRVING	75309	11315224516	00007	02/01/1991	02/01/1993
WILLOW BEND TAILORS	6401 WEST PLANO PKWY	PLANO	75309	32009590657	00004	10/01/2002	12/31/2003
ANTIQUE SHOW AT MARKET HALL	IH-35 STEMMONS FRY @ MARKET CENTER BLVD	DALLAS	75310	32009978720	00001	12/17/2002	12/17/2002
