Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
AMERICAN FOOD MANAGEMENT	401 FRANKLIN	HOUSTON	77201	13634827102	00016	12/08/1988	07/31/1990
AMERICAN SERVICE AND SUPPLY INC	401 FRANKLIN ST	HOUSTON	77201	17602870283	00002	01/01/1995	12/31/1999
ANDES CAFE	401 FRANKLIN ST STE 1275	HOUSTON	77201	32080860532	00001	11/01/2021	
ANDES CAFE	401 FRANKLIN ST STE 1275	HOUSTON	77201	32008605324	00002	12/15/2021	
BOAS LLC	401 FRANKLIN ST	HOUSTON	77201	32075276223	00002	11/05/2021	
CHAMPIONS CARPET & TILE	8320 LOVETTA RD	HOUSTON	77201	17602452488	00003	10/01/1991	04/01/1992
CHOPNBLOK SMOKEHOUSE, LLC	401 FRANKLIN ST STE 1305	HOUSTON	77201	32066046528	00002	10/25/2021	
CREPERY3, LLC	401 FRANKLIN ST	HOUSTON	77201	32081291653	00001	11/23/2021	
DALLAS SPORTSERVICE INC	2550 VICTORY AVE	DALLAS	77201	11615728737	00002	08/01/2001	02/15/2006
DON ALDREWS JEWELRY	COMMON MARKET SOUTHWEST EXPTESSWAY	HOUSTON	77201	32004754308	00002	01/01/1980	12/31/1983
DON'S POST OFFICE CAFETERIA	401 FRANKLIN	HOUSTON	77201	32030243755	00003	05/13/1974	12/31/1988
EL RANCHO MOTEL	1107 F N E	CHILDRESS	77201	32032371877	00001	09/19/1978	12/14/1978
ESK POST HTX LLC	401 FRANKLIN ST STE 1360	HOUSTON	77201	32080730941	00001	11/05/2021	
FLASH OF GOLD	401 FRANKLIN ST	HOUSTON	77201	32030566932	00001	10/01/1988	01/01/1995
FLOWER & CREAM	401 FRANKLIN ST	HOUSTON	77201	32079960947	00001	11/05/2021	
FRANKLIN STREET MASTER TENANT, LLC	401 FRANKLIN ST	HOUSTON	77201	32069960667	00001	03/06/2019	04/30/2022
GUERRILLA DINING CONCEPTS, LLC	401 FRANKLIN ST STE W13	HOUSTON	77201	32078998054	00002	12/01/2021	06/30/2022
HAWKER STREET FOOD BAR	401 FRANKLIN ST # W13	HOUSTON	77201	32078998054	00001	11/12/2021	06/30/2022
HOUSTON FROM BEYOND, LLC	401 FRANKLIN ST STE E15	HOUSTON	77201	32081360128	00001	03/01/2022	
LJ POST HTX LLC	401 FRANKLIN ST STE 1245	HOUSTON	77201	32080731048	00001	11/05/2021	
LONG JOHN SILVER'S #5490	RT 525	HOUSTON	77201	32060910760	00219	03/01/1984	12/31/2002
LUCY PEARL SWEETS	401 FRANKLIN ST STE W06	HOUSTON	77201	32069550526	00002	11/05/2021	
LUCY PEARL'S	401 FRANKLIN ST	HOUSTON	77201	32069550526	00003	11/01/2021	
M E N K H E T (S)	401 FRANKLIN ST	HOUSTON	77201	32052444950	00001	11/12/2013	03/31/2016
ORMC LABORTORIES	515 N BELT STE 550	HOUSTON	77201	30008413137	00001	11/07/1984	12/31/1984
POST SKYLAWN TENANT, LLC	401 FRANKLIN ST	HOUSTON	77201	32079647262	00001	11/08/2021	
PRINCESS VENDING	401 FRANKLIN ST	HOUSTON	77201	32005530319	00005	09/01/2007	08/31/2009
RAMEN MOTO POSTHTX INC	401 FRANKLIN ST # 1260	HOUSTON	77201	32080689873	00001	11/15/2021	
SALT & TIME BUTCHER SHOP/THE BUTCHER'S BURGER	401 FRANKLIN ST	HOUSTON	77201	32080629630	00001	10/06/2021	07/31/2022
SOUTHWAY SERVICES INC	401 FRANKLIN	HOUSTON	77201	17312755816	00001	08/03/1992	06/01/1993
SP POST HTX LLC	401 FRANKLIN ST STE 1230	HOUSTON	77201	32080730792	00001	11/05/2021	
SPORTS ILLUSTRATED VIBES	401 FRANKLIN ST	HOUSTON	77201	17603149141	00052	02/15/2017	01/01/2020
TACO FUEGO	401 FRANKLIN ST STE W14	HOUSTON	77201	32072830014	00003	11/13/2021	
THE TERMINAL	401 FRANKLIN ST	HOUSTON	77201	11339778802	00007	05/01/2021	
TK POST HTX LLC	401 FRANKLIN ST STE 1225	HOUSTON	77201	32080730891	00001	11/05/2021	
WYATT CAFETERIA #404	401 FRANKLIN	HOUSTON	77201	17509161414	00147	04/01/1991	03/01/1992
