Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
ABILENE SPEED BOWL	5 MILES W ON HWY 80	ABILENE	79600	17512515598	00002	04/01/1969	04/01/1976
ALLISON EQUIPMENT CO	ANSON HWY	ABILENE	79600	32024708557	00001	01/01/1966	06/30/1974
BALL THEATRE	2210 BUTTERNUT	ABILENE	79600	32005231850	00003	10/16/1972	06/30/1973
CHAMPION CHEMICALS INC	1301 S DANVILLE DRIVE	ABILENE	79600	17508676644	00002	09/01/1961	06/30/1970
CONSOLIDATED EQUIPMENT SALES	2118 TREASWAY	ABILENE	79600	17510974680	00013	09/01/1969	09/21/1976
F & M ELECTRONICS SUPPLY INC	828 BUTTERNUT	ABILENE	79600	17512302716	00002	01/01/1967	06/30/1968
FIRE PLACE SHOPPE	6 W SWISS ALPS WESTGATE	ABILENE	79600	17511794129	00003	10/15/1973	06/30/1975
K & W ENTERPRISES	THE MALL OF ABILENE BUFFALO GAP ROAD	ABILENE	79600	32009465793	00002	01/01/2002	09/30/2009
LA POSADA	1ST & WILSON	ABILENE	79600	32012856533	00003	01/01/1972	07/17/1975
LONE STAR GAS		IMPACT	79600	17503990669	00433	10/02/1968	06/30/1976
NATIONAL TANK DIV	1739 S TREADSWAY	ABILENE	79600	11315875697	00010	06/01/1966	06/30/1973
NIAGARA CYCLE MASSAGE OF ABILENE	241 PINE	ABILENE	79600	12509889924	00005	07/01/1977	12/07/1978
PANT PLACE #8893	12TH & MOCKINGBIRD	ABILENE	79600	17513791057	00060	04/07/1973	12/01/1973
PORT CAFE	MUNICIPAL AIRPORT	ABILENE	79600	32030961885	00001	09/01/1961	09/30/1969
PRESTON DAIRY STORE #2	1925 S 20TH	ABILENE	79600	17508198516	00019	05/01/1970	12/31/1970
QUEEN ESTHER CHAPTER #833	WEST TEXAS FAIR GROUND	ABILENE	79600	30000253259	00010	09/18/1976	09/18/1976
R C'S INTERSTATE 66	2250 W HWY 20	ABILENE	79600	32031588687	00001	03/04/1972	09/30/1972
SEWING MACHINE SERVICE CENTER	4020 KEMP	WICHITA FALLS	79600	32030558483	00011	10/05/1974	02/15/1976
STANDARD SALES CO INC	247 IMPACT DR	IMPACT	79600	17508751439	00001	09/01/1961	05/31/1969
TIKER ENTERPRISES	THE MALL OF ABILENE BUFFALO GAP ROAD	ABILENE	79600	12705009566	00001	09/02/2009	02/29/2012
WEST TEXAS FAIR ASSOCIATION	EAST HIGHWAY 36	ABILENE	79600	17509952804	00001	12/31/1976	12/31/1976
WYLIE INC #57	2702 AMBLER	ABILENE	79600	17510360492	00026	02/29/1968	06/30/1972
MARBLE & ANTIQUES	922 RUSWOOD CIR	ABILENE	79601	32023768529	00002	08/15/1997	12/25/1999
MCCATHREN ASSOCIATES INC	226 PINE ST	ABILENE	79601	17525058206	00003	05/15/1999	12/31/1999
RC DIESEL PERFORMANCE	6201 SPINKS RD	ABILENE	79601	32037945220	00001	09/20/2008	12/31/2008
$1 JEWELRY GALORE OF ABILENE, INC.	1640 STATE HIGHWAY 351	ABILENE	79601	32047124808	00001	03/15/2012	02/16/2016
#1 A LIFESAFER OF TEXAS (ABILENE)	1010 PINE ST	ABILENE	79601	12033838280	00097	01/02/2018	
#1 A LIFESAFER OF TEXAS INTERLOCK, INC. - ABILENE	1241 PINE ST	ABILENE	79601	12033838280	00024	04/01/2013	04/01/2018
"BOFCO" BUDGET OFFICE FURNITURE	255 HICKORY	ABILENE	79601	17512255419	00003	02/01/1985	12/31/1985
"I LOVE IT!" CREATIONS	2149 BOSTON RD	ABILENE	79601	32039091627	00001	04/01/2009	04/01/2009
"R" ENTERPRISES	2926 PINE	ABILENE	79601	32005691178	00002	01/01/1986	06/30/1986
"R" ENTERPRISES	881 PINE	ABILENE	79601	32005691178	00001	07/01/1985	06/30/1986
A & A AUTO ELECT	509 N TREADAWAY BLVD	ABILENE	79601	32005054930	00003	01/01/2012	01/18/2012
A & A PAINT & CUSTOM FABRICATION	EXIT 603 N SIDE OF I-20	ABILENE	79601	30010587928	00001	07/01/1988	01/01/1992
A & A PEST CONTROL	1125 RUSWOOD	ABILENE	79601	32009707459	00006	04/01/1993	09/30/1993
A & A TROPHY SHOP	158 GRAPE	ABILENE	79601	17515247272	00002	06/01/1978	08/04/1979
A & B JANITORAL	GRIFFITH ROAD AT EAST N10TH	ABILENE	79601	30115019058	00001	05/01/1991	06/30/1995
A & B WELDING EQUIPMENT	6405 E US HIGHWAY 80	ABILENE	79601	30118695193	00001	11/13/1996	12/30/1999
A & B WELDING EQUIPMENT	6405 E US HIGHWAY 80	ABILENE	79601	32008423884	00001	01/01/2000	08/31/2021
A & B'S TREASURES	1166 N 2ND ST	ABILENE	79601	32045788174	00001	11/01/2011	05/31/2014
A & D SALES	1638 JAMAICA	ABILENE	79601	32030615689	00001	04/29/1992	12/31/1993
A & D 24 HOUR TOWING & RECOVERY	925 N 13TH ST	ABILENE	79601	11418733199	00001	05/31/2003	10/01/2010
A & J COLLECTIBLES	244 PINE ST	ABILENE	79601	32009008320	00005	01/01/1999	04/07/2007
A & J ESTATE SALES	1546 N 5TH ST	ABILENE	79601	32017277388	00003	01/01/2010	12/31/2017
A & K BATTERY & RECYCLING	992 ANSON AVE	ABILENE	79601	32032406384	00002	03/15/2000	06/30/2000
A & S ENTERPRISES	4272 CR 320	ABILENE	79601	32072387957	00003	08/03/2021	
A & S STARTER & ALT SERV	E I-20 AT OLD ABILENE TOWN	ABILENE	79601	32026655426	00002	02/01/1979	03/31/1979
A & T OILFIELD SUPPLY CO	241 PINE ST	ABILENE	79601	17526130442	00001	09/15/1995	12/31/1997
A - Z MECHANICAL SERVICE	1726 PINE ST	ABILENE	79601	32009404883	00002	02/15/1999	09/30/1999
A A A ALL FACTORY VACUUMS	1230 N 3RD ST	ABILENE	79601	17525937599	00001	05/07/1995	06/16/1999
A A CREATIONS	4517 COUNTY ROAD 320	ABILENE	79601	32011332320	00001	09/07/2004	12/31/2006
A B C DOOR CLOSERS	1101 PINE ST	ABILENE	79601	32007111969	00002	01/01/2003	09/30/2006
A B C DOOR CLOSERS	1109 PINE ST	ABILENE	79601	32007111969	00001	03/09/2001	12/31/2002
A B C FURNITURE	2 MI E HWY 351	ABILENE	79601	32012800408	00001	01/01/1975	04/20/1991
A B YOUNGBLOOD SALES CO	FT PHANTOM LAKE RD	ABILENE	79601	32023502126	00001	09/01/1961	12/31/1998
A BARRY'S PEST CONTROL	JARMAN RD & FM 3034	ABILENE	79601	32021262905	00003	03/02/1999	06/01/1999
A BARRY'S PEST CONTROL	JARMAN RD AND FM 3034 1 BLK FROM INTERSE	ABILENE	79601	32021262905	00001	04/01/1993	01/31/1999
A BROWN'S	526 MULBERRY ST	ABILENE	79601	32024295563	00001	11/15/1994	12/31/1995
A C A CHAVEZ	1001 PINE ST	ABILENE	79601	32009707475	00002	11/10/2000	07/04/2003
A CIRCLE OF FRIENDS	RT 1 BOX 384	ABILENE	79601	32023083275	00002	10/01/1987	12/31/1990
A CU CLEANERS	1113 N JUDGE ELY	ABILENE	79601	30005402000	00003	01/01/1990	06/30/1990
A D BOWEN CORPORATION	STE 11LB ONE ENERGY SQUARE	ABILENE	79601	17514436025	00002	04/01/1974	06/30/1987
A DOG'S BEST FRIEND	1609 UNIVERSITY BLVD	ABILENE	79601	32070987881	00001	11/12/2021	06/30/2022
A E MARBLE & GRANITE	556 SCOTLAND CT	ABILENE	79601	32031787206	00001	05/11/1999	12/30/1999
A E MARBLE & TILE	556 SCOTLAND CT	ABILENE	79601	32031787206	00002	05/11/1999	12/30/1999
A FISHERMAN'S RETREAT	348 AMBLER AVE	ABILENE	79601	32016126644	00001	10/01/2004	09/30/2005
A G ENTERPRISES	542 E NORTH 7TH ST	ABILENE	79601	32041155352	00001	01/25/2010	12/31/2012
A GLASS ACT	711 HICKORY ST	ABILENE	79601	32031274049	00003	07/01/1990	12/31/1995
A GLASS ACT	644 HICKORY	ABILENE	79601	32031274049	00002	07/12/1989	06/30/1990
A HOLY MISSION	2473 CAMPUS CT	ABILENE	79601	32023473757	00005	05/12/2020	12/31/2020
A J BIVENS	625 EAST NORTH 18TH	ABILENE	79601	32031874962	00001	01/01/1968	06/30/1968
A J STEEL FAB INC	4501 OVERLAND TRAIL	ABILENE	79601	30113218801	00002	01/01/1990	06/01/1991
A MIDNIGHT VIDEO	3505 E US HIGHWAY 80	ABILENE	79601	16806675712	00001	02/10/2008	
A MOMENT IN TIME PHOTOGRAPHY	2117 BOSTON RD	ABILENE	79601	32042826001	00002	04/01/2012	
A MOMENT IN TIME PHOTOGRAPHY	1741 SMITH DR	ABILENE	79601	32042826001	00001	09/16/2010	03/31/2012
